Track,Time,Name,Channel,Note,Velocity
0,0,0,Header,1,1.0,384.0
1,1,0,Start_track,,,
2,1,0,Title_t,"""6/29 1 ~ 3  e-Comp""",,
3,1,0,Program_c,0,0.0,
4,1,786,Note_on_c,0,74.0,92.0
6,1,1187,Note_on_c,0,81.0,93.0
7,1,1560,Note_on_c,0,57.0,79.0
9,1,1946,Note_on_c,0,62.0,86.0
10,1,1967,Control_c,0,64.0,56.0
12,1,1981,Control_c,0,64.0,67.0
13,1,1996,Control_c,0,64.0,78.0
15,1,2012,Control_c,0,64.0,127.0
16,1,2316,Note_on_c,0,78.0,97.0
17,1,2323,Note_on_c,0,74.0,82.0
18,1,2332,Control_c,0,64.0,69.0
21,1,2702,Note_on_c,0,73.0,73.0
22,1,2709,Note_on_c,0,76.0,79.0
26,1,2812,Note_on_c,0,71.0,78.0
27,1,2816,Note_on_c,0,74.0,72.0
30,1,2907,Note_on_c,0,73.0,79.0
31,1,2916,Note_on_c,0,69.0,76.0
34,1,3016,Note_on_c,0,71.0,83.0
35,1,3017,Note_on_c,0,67.0,78.0
38,1,3120,Note_on_c,0,69.0,77.0
39,1,3121,Note_on_c,0,66.0,76.0
42,1,3222,Note_on_c,0,64.0,73.0
43,1,3222,Note_on_c,0,67.0,72.0
46,1,3347,Note_on_c,0,62.0,80.0
47,1,3347,Note_on_c,0,66.0,85.0
50,1,3379,Control_c,0,64.0,62.0
51,1,3394,Control_c,0,64.0,67.0
52,1,3409,Control_c,0,64.0,76.0
53,1,3425,Control_c,0,64.0,113.0
54,1,3440,Control_c,0,64.0,127.0
55,1,3607,Control_c,0,64.0,105.0
56,1,3623,Control_c,0,64.0,87.0
57,1,3638,Control_c,0,64.0,80.0
58,1,3653,Control_c,0,64.0,79.0
59,1,3683,Control_c,0,64.0,79.0
60,1,3699,Control_c,0,64.0,69.0
62,1,3715,Note_on_c,0,81.0,96.0
63,1,3722,Note_on_c,0,78.0,81.0
66,1,4085,Note_on_c,0,79.0,84.0
67,1,4100,Note_on_c,0,76.0,70.0
70,1,4194,Note_on_c,0,78.0,89.0
71,1,4201,Note_on_c,0,74.0,81.0
74,1,4301,Note_on_c,0,76.0,92.0
75,1,4302,Note_on_c,0,73.0,83.0
78,1,4400,Note_on_c,0,74.0,89.0
79,1,4408,Note_on_c,0,71.0,79.0
82,1,4504,Note_on_c,0,73.0,90.0
83,1,4510,Note_on_c,0,69.0,81.0
86,1,4605,Note_on_c,0,67.0,79.0
87,1,4610,Note_on_c,0,71.0,88.0
90,1,4724,Note_on_c,0,66.0,80.0
91,1,4730,Note_on_c,0,69.0,82.0
93,1,4768,Control_c,0,64.0,61.0
95,1,4793,Control_c,0,64.0,65.0
96,1,4808,Control_c,0,64.0,73.0
97,1,4823,Control_c,0,64.0,99.0
98,1,4838,Control_c,0,64.0,127.0
99,1,5021,Control_c,0,64.0,111.0
100,1,5036,Control_c,0,64.0,85.0
101,1,5050,Control_c,0,64.0,73.0
102,1,5066,Control_c,0,64.0,66.0
103,1,5068,Note_on_c,0,86.0,87.0
104,1,5081,Control_c,0,64.0,61.0
105,1,5090,Note_on_c,0,66.0,61.0
106,1,5097,Control_c,0,64.0,35.0
109,1,5183,Note_on_c,0,81.0,90.0
112,1,5276,Note_on_c,0,74.0,92.0
113,1,5417,Note_on_c,0,67.0,60.0
115,1,5419,Note_on_c,0,78.0,75.0
117,1,5495,Note_on_c,0,76.0,74.0
120,1,5559,Control_c,0,67.0,8.0
121,1,5561,Note_on_c,0,78.0,74.0
122,1,5575,Control_c,0,67.0,17.0
